년도,격자코드,구분,총인구
2024,다라008531,to_in_001,5
2024,다라008541,to_in_001,8
2024,다라008543,to_in_001,5
2024,다라008544,to_in_001,5
2024,다라008564,to_in_001,0
2024,다라008565,to_in_001,5
2024,다라008566,to_in_001,0
2024,다라008577,to_in_001,5
2024,다라008579,to_in_001,5
2024,다라008599,to_in_001,5
2024,다라008600,to_in_001,5
2024,다라008602,to_in_001,0
2024,다라008610,to_in_001,5
2024,다라008621,to_in_001,34
2024,다라008677,to_in_001,5
2024,다라008678,to_in_001,5
2024,다라008679,to_in_001,13
2024,다라008680,to_in_001,5
2024,다라008681,to_in_001,5
2024,다라008682,to_in_001,5
2024,다라008683,to_in_001,5
2024,다라008684,to_in_001,5
2024,다라008696,to_in_001,5
2024,다라008698,to_in_001,8
2024,다라008699,to_in_001,5
2024,다라008700,to_in_001,33
2024,다라008701,to_in_001,8
2024,다라008702,to_in_001,8
2024,다라008831,to_in_001,5
2024,다라008838,to_in_001,0
2024,다라008855,to_in_001,13
2024,다라008856,to_in_001,8
2024,다라008859,to_in_001,5
2024,다라008900,to_in_001,0
2024,다라008924,to_in_001,8
2024,다라008926,to_in_001,0
2024,다라008928,to_in_001,8
2024,다라008929,to_in_001,0
2024,다라008956,to_in_001,0
2024,다라008958,to_in_001,5
2024,다라008963,to_in_001,5
2024,다라008967,to_in_001,5
2024,다라008968,to_in_001,8
2024,다라008969,to_in_001,5
2024,다라008991,to_in_001,8
2024,다라009200,to_in_001,5
2024,다라009201,to_in_001,13
2024,다라009202,to_in_001,18
2024,다라009203,to_in_001,23
2024,다라009306,to_in_001,8
2024,다라009307,to_in_001,0
2024,다라009309,to_in_001,5
2024,다라009401,to_in_001,18
2024,다라009402,to_in_001,13
2024,다라009411,to_in_001,0
2024,다라009413,to_in_001,8
2024,다라009414,to_in_001,20
2024,다라009454,to_in_001,8
2024,다라009455,to_in_001,70
2024,다라009456,to_in_001,129
2024,다라009457,to_in_001,86
2024,다라009458,to_in_001,122
2024,다라009459,to_in_001,113
2024,다라009460,to_in_001,23
2024,다라009462,to_in_001,94
2024,다라009463,to_in_001,43
2024,다라009464,to_in_001,54
2024,다라009467,to_in_001,18
2024,다라009468,to_in_001,28
2024,다라009469,to_in_001,23
2024,다라009470,to_in_001,8
2024,다라009471,to_in_001,295
2024,다라009472,to_in_001,712
2024,다라009473,to_in_001,121
2024,다라009482,to_in_001,13
2024,다라009483,to_in_001,13
2024,다라009484,to_in_001,577
2024,다라009485,to_in_001,393
2024,다라009486,to_in_001,272
2024,다라009490,to_in_001,8
2024,다라009491,to_in_001,201
2024,다라009492,to_in_001,13
2024,다라009493,to_in_001,213
2024,다라009494,to_in_001,8
2024,다라009495,to_in_001,5
2024,다라009498,to_in_001,5
2024,다라009507,to_in_001,8
2024,다라009508,to_in_001,5
2024,다라009511,to_in_001,0
2024,다라009514,to_in_001,34
2024,다라009515,to_in_001,18
2024,다라009525,to_in_001,5
2024,다라009529,to_in_001,5
