행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
구로구,교습소,준플라워(Flower)기정꽃꽂이교습소,서울특별시 구로구 구로중앙로 198,기타(대),기타(중),"꽃꽂이(일185분,주1회)",9,19830425,20250928
구로구,교습소,뮤즈음악교습소,서울특별시 구로구 중앙로6길 17?,예능(대),예능(중),초급(피아노)(일70분*주4회*4.2주),12,19850115,20250928
구로구,교습소,예본미술교습소,서울특별시 구로구 개봉로1나길 36,예능(대),예능(중),미술1(일60분*주5회*4.2주),27,20021022,20231018
양천구,교습소,탑리더스수학교습소,서울특별시 양천구 목동동로 339,입시.검정 및 보습,보통교과,초등수학,54,20031118,20260712
강남구,학원,다른학원,서울특별시 강남구 논현로175길 64,입시.검정 및 보습,보통교과,,24,19920612,20231018
영등포구,학원,러셀학원,서울특별시 영등포구 도신로4길 17,입시.검정 및 보습,보통교과,보습,160,19881205,20260607
구로구,학원,예당독서실,서울특별시 구로구 고척로12길 16,독서실,독서,"독서실(유아/초?중?고),",118,20000524,20260712
마포구,학원,칸투스음악학원,서울특별시 마포구 성미산로 23,예능(대),예능(중),음악,155,20040520,20240225
강서구,교습소,뮤즈연세음악교습소,서울특별시 강서구 공항대로 382,예능(대),예능(중),악기입시반B,88,20031006,20250223
양천구,교습소,엘린피아노음악교습소,서울특별시 양천구 월정로 163-1,예능(대),예능(중),음악기초1,52,20030916,20250810
