행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
서초구,교습소,박정인영어교습소,서울특별시 서초구 신반포로 165,입시.검정 및 보습,보통교과,,24,20210513,20231018
서초구,학원,뉴톤제스학원,서울특별시 서초구 반포대로 287,입시.검정 및 보습,보통교과,"보습,",74,20210506,20231018
강남구,학원,최상위학원,서울특별시 강남구 자곡로 108,입시.검정 및 보습,보통교과,보습,30,20210511,20250309
중랑구,학원,피아노클리닉학원,서울특별시 중랑구 봉화산로 81,예능(대),예능(중),음악,510,20210520,20250907
양천구,교습소,캐피타운영어교습소,서울특별시 양천구 신정이펜2로 14,입시.검정 및 보습,보통교과,,18,20210521,20260816
강남구,교습소,내공수학교습소,서울특별시 강남구 논현로51길 25,입시.검정 및 보습,보통교과,,3,20210521,20250413
서대문구,교습소,투탑수학교습소,서울특별시 서대문구 증가로 150,입시.검정 및 보습,보통교과,초등수학1,13,20210521,20260426
강서구,교습소,리드나인주니어영어교습소,서울특별시 강서구 공항대로41길 51,입시.검정 및 보습,보통교과,,24,20210521,20231018
강서구,교습소,올리브의영어교습소,서울특별시 강서구 마곡중앙1로 20,입시.검정 및 보습,보통교과,중등B-1,35,20210521,20260201
노원구,교습소,이건우음악교습소,서울특별시 노원구 한글비석로 331,예능(대),예능(중),입시1,2,20210521,20260329
영등포구,학원,소리공방음악학원,서울특별시 영등포구 국회대로37길 19,예능(대),예능(중),,33,20210521,20251116
서초구,교습소,두개세개아동미술교습소,서울특별시 서초구 사임당로 158,예능(대),예능(중),미술C (일반),8,20210518,20250824
강남구,학원,오즈엔터학원,서울특별시 강남구 역삼로3길 20-4,기타(대),기타(중),,30,20210524,20260201
도봉구,학원,라엘음악학원,서울특별시 도봉구 삼양로 572,예능(대),예능(중),,425,20210525,20231018
서대문구,교습소,키즈아틀리에누보(KidsAtelierNouveau)미술교습소,서울특별시 서대문구 이화여대8길 62,예능(대),예능(중),고급미술A,10,20210524,20231018
은평구,학원,사계절프라이빗독서실,서울특별시 은평구 연서로 152,독서실,독서,독서실(일반인),544,20210524,20260201
강서구,학원,더쎈학원,서울특별시 강서구 공항대로 38-4,입시.검정 및 보습,보통교과,보습,16,20210525,20241215
관악구,학원,엠더블유실용음악학원,서울특별시 관악구 남부순환로 1667,예능(대),예능(중),"음악,",150,20210524,20231018
마포구,학원,그레이스음악학원,서울특별시 마포구 대흥로24길 24,예능(대),예능(중),,228,20210426,20231018
금천구,학원,고수학학원,서울특별시 금천구 시흥대로 291,입시.검정 및 보습,보통교과,,32,20210525,20231018
