"X2","X4_합"
"라라4354",0
"라라4363",18
"라라4364",26
"라라4365",0
"라라4366",59
"라라4367",71
"라라4368",148
"라라4369",8
"라라4370",10
"라라4371",13
"라라4372",36
"라라4373",24
"라라4375",10
"라라4378",10
"라라4379",5
"라라4380",8
"라라4381",115
"라라4382",40
"라라4383",11
"라라4385",5
"라라4386",5
"라라4387",13
"라라4393",0
"라라4394",5
"라라4435",0
"라라4436",222
"라라4437",73
"라라4438",10
"라라4445",13
"라라4446",26
"라라4447",34
"라라4448",18
"라라4449",21
"라라4452",5
"라라4453",47
"라라4454",0
"라라4455",26
"라라4456",5
"라라4463",15
"라라4464",5
"라라4465",15
"라라4466",5
"라라4467",16
"라라4468",26
