"X1","X2","X3","X4","source_file"
2024,"라라0449","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0449","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0450","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0450","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0450","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0451","ho_yr_001",38,"2024년_주택_라라_1K.csv"
2024,"라라0451","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0451","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0452","ho_yr_001",17,"2024년_주택_라라_1K.csv"
2024,"라라0452","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0452","ho_yr_003",19,"2024년_주택_라라_1K.csv"
2024,"라라0453","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0453","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0453","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0454","ho_yr_001",34,"2024년_주택_라라_1K.csv"
2024,"라라0454","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0454","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0455","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0455","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0455","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0456","ho_yr_001",6,"2024년_주택_라라_1K.csv"
2024,"라라0456","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0456","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0457","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0457","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0458","ho_yr_001",33,"2024년_주택_라라_1K.csv"
2024,"라라0458","ho_yr_002",13,"2024년_주택_라라_1K.csv"
2024,"라라0458","ho_yr_003",30,"2024년_주택_라라_1K.csv"
2024,"라라0460","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0460","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0460","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0461","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0461","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0461","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0462","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0462","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0462","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0463","ho_yr_001",18,"2024년_주택_라라_1K.csv"
2024,"라라0463","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0463","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0464","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0466","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0466","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0466","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0467","ho_yr_001",41,"2024년_주택_라라_1K.csv"
2024,"라라0467","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0467","ho_yr_003",33,"2024년_주택_라라_1K.csv"
2024,"라라0468","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0468","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0475","ho_yr_003",0,"2024년_주택_라라_1K.csv"
